Tree species,Yield class,Age,Main crop after thinning number of trees,Main crop after thinning top height (m),Main crop after thinning mean diameter (cm),Main crop after thinning basal area (m2),Main crop after thinning volume in cubic meters to top diameters of 7cm,Main crop after thinning volume in cubic meters to top diameters of 18cm,Main crop after thinning volume in cubic meters to top diameters of 24cm,Yield from thinnings number of trees,Yield from thinnings mean diameter (cm),Yield from thinnings mean volume per tree (m3),Yield from thinnings volume in cubic meters to top diameters of 7cm,Yield from thinnings volume in cubic meters to top diameters of 18cm,Yield from thinnings volume in cubic meters to top diameters of 24cm,Cumulative production basal area (m2),Cumulative production volume to 7cm (m3),Increment CAI basal area (m2),Increment CAI volume to 7cm (m3),Increment MAI volume to 7cm (m3)
Scots Pine,12,85,237,27.5,47.8,42.5,493,479,450,13,45.6,1.825,23,22,21,112.7,994,0.6,8.5,11.7
Scots Pine,12,90,226,28.1,49.4,43.4,512,499,471,11,47.4,1.942,20,19,18,115.4,1032,0.5,7,11.5
Scots Pine,12,95,218,28.5,50.8,44.2,526,514,487,8,48.8,2.15,17,17,16,117.7,1064,0.45,6.2,11.2
Scots Pine,12,100,211,28.9,52.2,45.2,542,530,504,7,50.2,2.339,15,14,13,119.9,1095,0.38,5.2,10.9
Scots Pine,10,15,4446,6.1,7.1,17.7,30,0,0,0,0,0,0,0,0,17.7,30,1.26,5.2,2
Scots Pine,10,20,4224,8.3,8.6,24.6,64,0,0,222,0,0,0,0,0,24.6,64,1.48,8.2,3.2
Scots Pine,10,25,2214,10.3,10.4,18.7,79,0,0,2010,9.4,0.016,33,0,0,32.6,112,1.63,10.7,4.5
Scots Pine,10,30,1455,12.2,13,19.4,103,3,0,759,11.3,0.046,35,0,0,40.9,171,1.66,12.5,5.7
Scots Pine,10,35,1071,13.9,16.1,21.9,134,19,0,384,13.7,0.091,35,2,0,49.1,237,1.59,13.6,6.8
Scots Pine,10,40,843,15.6,19.4,24.8,169,61,8,228,16.4,0.153,35,5,0,56.8,307,1.48,14.2,7.7
Scots Pine,10,45,691,17.1,22.5,27.5,206,119,31,152,19.2,0.23,35,12,1,63.9,379,1.37,14.3,8.4
Scots Pine,10,50,584,18.5,25.6,29.9,242,175,73,107,22.1,0.325,35,19,5,70.5,450,1.26,14,9
Scots Pine,10,55,504,19.8,18.4,32,275,223,127,80,25,0.436,35,25,10,76.5,518,1.14,13.4,9.4
Scots Pine,10,60,443,20.9,31.1,33.6,306,264,181,61,27.9,0.566,35,28,15,81.9,583,1.03,12.6,9.7
Scots Pine,10,65,396,22,33.6,35,333,300,229,47,30.5,0.706,33,28,19,86.8,644,0.92,11.6,9.9
Scots Pine,10,70,359,22.9,35.8,36.2,358,331,270,37,33,0.814,30,27,20,91.1,699,0.81,10.5,10
Scots Pine,10,75,331,23.7,37.9,37.3,381,357,304,28,35.1,0.982,27,24,20,94.8,749,0.71,9.4,10
Scots Pine,10,80,310,24.4,39.7,38.3,402,381,334,21,37.1,1.129,24,22,18,98.1,793,0.62,8.3,9.9
Scots Pine,10,85,293,25.1,41.3,39.2,420,401,359,17,38.8,1.22,21,19,17,101,832,0.54,7.4,9.8
Scots Pine,10,90,279,25.6,42.7,40.1,437,419,382,14,40.3,1.328,17,17,15,103.5,867,0.46,6.4,9.6
Scots Pine,10,95,269,26.1,44,40.8,452,435,401,10,41.6,1.485,15,14,13,105.6,896,0.4,5.5,9.4
Scots Pine,10,100,261,26.4,45.1,41.6,465,449,416,8,42.7,1.558,12,12,10,107.5,921,0.34,4.6,9.2
Scots Pine,8,20,4386,6.7,7.6,19.9,39,0,0,0,0,0,0,0,0,19.9,39,1.15,5.1,1.9
Scots Pine,8,25,3605,8.5,8.8,21.8,64,0,0,781,8.5,0.009,7,0,0,26.2,71,1.34,7.7,2.9
Scots Pine,8,30,2194,10.3,10.5,18.9,79,0,0,1411,9.5,0.02,28,0,0,33.3,115,1.43,9.5,3.8
Scots Pine,8,35,1549,12,12.8,19.9,103,3,0,645,11.1,0.043,28,0,0,40.5,166,1.41,10.7,4.7
Scots Pine,8,40,1189,13.5,15.3,22,131,14,0,360,13.1,0.078,28,1,0,47.4,222,1.35,11.5,5.6
Scots Pine,8,45,960,14.9,18,24.3,161,41,3,229,15.2,0.122,28,3,0,54,280,1.25,11.7,6.2
Scots Pine,8,50,802,16.3,20.6,26.6,192,87,15,158,17.4,0.176,28,6,0,60,339,1.16,11.6,6.8
Scots Pine,8,55,686,17.5,23,28.6,221,134,38,116,19.7,0.241,28,11,2,65.5,396,1.07,11.4,7.2
Scots Pine,8,60,599,18.5,25.4,30.4,249,179,74,87,22,0.32,28,15,4,70.7,452,0.98,10.9,7.5
Scots Pine,8,65,531,19.5,27.7,31.9,274,217,116,68,24.3,0.409,28,19,7,75.3,505,0.89,10.3,7.8
