Tree species,Yield class,Age,Main crop after thinning number of trees,Main crop after thinning top height (m),Main crop after thinning mean diameter (cm),Main crop after thinning basal area (m2),Main crop after thinning volume in cubic meters to top diameters of 7cm,Main crop after thinning volume in cubic meters to top diameters of 18cm,Main crop after thinning volume in cubic meters to top diameters of 24cm,Yield from thinnings number of trees,Yield from thinnings mean diameter (cm),Yield from thinnings mean volume per tree (m3),Yield from thinnings volume in cubic meters to top diameters of 7cm,Yield from thinnings volume in cubic meters to top diameters of 18cm,Yield from thinnings volume in cubic meters to top diameters of 24cm,Cumulative production basal area (m2),Cumulative production volume to 7cm (m3),Increment CAI basal area (m2),Increment CAI volume to 7cm (m3),Increment MAI volume to 7cm (m3)
Hybrid Larch,10,70,221,25.5,38.3,25.4,312,293,251,16,37,1.336,21,19,16,72.1,649,0.42,6.6,9.3
Hybrid Larch,10,75,207,26.1,39.8,25.8,323,306,269,14,38.7,1.504,21,19,17,74.1,680,0.38,6.1,9.1
Hybrid Larch,10,80,195,26.7,41.2,26,331,316,283,12,40.1,1.602,21,19,17,75.9,709,0.35,5.6,8.9
Japanese Larch,8,10,3038,5.3,6.4,9.8,12,0,0,0,0,0,0,0,0,9.8,12,1.95,4.6,1.2
Japanese Larch,8,15,2571,7.8,9.3,17.3,41,0,0,467,7.3,0.011,5,0,0,19.2,46,1.78,8.5,3.1
Japanese Larch,8,20,1379,10.2,12.2,16,64,1,0,1192,10.2,0.024,28,0,0,27.7,97,1.57,10.9,4.8
Japanese Larch,8,25,971,12.4,15.2,17.6,94,9,0,408,13.2,0.069,28,1,0,34.9,155,1.32,11.8,6.2
Japanese Larch,8,30,753,14.4,18,19.2,125,31,2,218,16.1,0.128,28,4,0,40.9,214,1.08,11.4,7.1
Japanese Larch,8,35,613,16,20.5,20.2,151,68,12,140,18.6,0.199,28,8,1,45.7,268,0.87,10.3,7.7
Japanese Larch,8,40,513,17.4,22.6,20.7,172,101,27,100,20.8,0.28,28,13,2,49.6,317,0.72,9.2,7.9
Japanese Larch,8,45,448,18.6,24.6,21.2,191,130,48,65,22.8,0.368,24,14,4,52.8,360,0.61,8.2,8
Japanese Larch,8,50,402,19.6,26.3,21.9,209,157,73,46,24.6,0.455,21,14,5,55.6,399,0.53,7.5,8
Japanese Larch,8,55,367,20.5,27.9,22.5,226,180,98,35,26.3,0.541,19,14,6,58.1,434,0.47,6.8,7.9
Japanese Larch,8,60,340,21.3,29.4,23.1,242,201,124,27,27.8,0.633,17,13,7,60.3,467,0.41,6.2,7.8
Japanese Larch,8,65,317,22,30.7,23.5,255,219,147,23,29.2,0.711,16,13,8,62.2,496,0.37,5.6,7.6
Japanese Larch,8,70,297,22.7,32,23.8,266,234,167,20,30.4,0.809,16,13,9,64,523,0.34,5.2,7.5
Japanese Larch,8,75,280,23.3,33.2,24.2,276,247,186,17,31.7,0.911,15,13,10,65.7,548,0.31,4.8,7.3
Japanese Larch,8,80,264,23.8,34.2,24.3,282,256,200,16,32.8,0.981,15,14,10,67.1,570,0.29,4.4,7.1
Hybrid Larch,8,10,3038,5.3,6.4,9.8,12,0,0,0,0,0,0,0,0,9.8,12,1.95,4.6,1.2
Hybrid Larch,8,15,2571,7.8,9.3,17.3,41,0,0,467,7.3,0.011,5,0,0,19.2,46,1.78,8.5,3.1
Hybrid Larch,8,20,1379,10.2,12.2,16,64,1,0,1192,10.2,0.024,28,0,0,27.7,97,1.57,10.9,4.8
Hybrid Larch,8,25,971,12.4,15.2,17.6,94,9,0,408,13.2,0.069,28,1,0,34.9,155,1.32,11.8,6.2
Hybrid Larch,8,30,753,14.4,18,19.2,125,31,2,218,16.1,0.128,28,4,0,40.9,214,1.08,11.4,7.1
Hybrid Larch,8,35,613,16,20.5,20.2,151,68,12,140,18.6,0.199,28,8,1,45.7,268,0.87,10.3,7.7
Hybrid Larch,8,40,513,17.4,22.6,20.7,172,101,27,100,20.8,0.28,28,13,2,49.6,317,0.72,9.2,7.9
Hybrid Larch,8,45,448,18.6,24.6,21.2,191,130,48,65,22.8,0.368,24,14,4,52.8,360,0.61,8.2,8
Hybrid Larch,8,50,402,19.6,26.3,21.9,209,157,73,46,24.6,0.455,21,14,5,55.6,399,0.53,7.5,8
Hybrid Larch,8,55,367,20.5,27.9,22.5,226,180,98,35,26.3,0.541,19,14,6,58.1,434,0.47,6.8,7.9
Hybrid Larch,8,60,340,21.3,29.4,23.1,242,201,124,27,27.8,0.633,17,13,7,60.3,467,0.41,6.2,7.8
Hybrid Larch,8,65,317,22,30.7,23.5,255,219,147,23,29.2,0.711,16,13,8,62.2,496,0.37,5.6,7.6
Hybrid Larch,8,70,297,22.7,32,23.8,266,234,167,20,30.4,0.809,16,13,9,64,523,0.34,5.2,7.5
Hybrid Larch,8,75,280,23.3,33.2,24.2,276,247,186,17,31.7,0.911,15,13,10,65.7,548,0.31,4.8,7.3
Hybrid Larch,8,80,264,23.8,34.2,24.3,282,256,200,16,32.8,0.981,15,14,10,67.1,570,0.29,4.4,7.1
Japanese Larch,6,15,2943,6.3,7.8,14,24,0,0,0,0,0,0,0,0,14,24,1.63,5.6,1.6
Japanese Larch,6,20,1992,8.5,10.3,16.7,47,0,0,951,8.3,0.014,13,0,0,21.9,60,1.47,8,3
Japanese Larch,6,25,320,10.5,12.9,17.3,70,2,0,672,10.9,0.031,21,0,0,28.7,104,1.26,9.2,4.2
Japanese Larch,6,30,1012,12.3,15.4,18.7,96,10,0,308,13.3,0.068,21,1,0,34.5,151,1.04,9.1,5
Japanese Larch,6,35,824,13.8,17.5,19.8,119,26,1,188,15.5,0.112,21,2,0,39.1,195,0.83,8.4,5.6
Japanese Larch,6,40,693,15,19.3,20.4,137,50,6,131,17.4,0.16,21,4,0,42.7,234,0.66,7.4,5.9
Japanese Larch,6,45,599,16.1,20.9,20.6,152,73,14,94,19,0.211,20,7,1,45.7,269,0.54,6.6,6
Japanese Larch,6,50,538,17,22.3,21.1,167,95,24,61,20.4,0.264,16,7,1,48.2,300,0.47,6,6
Japanese Larch,6,55,496,17.8,23.6,21.8,182,116,37,42,21.8,0.318,13,7,2,50.4,329,0.43,5.5,6
Japanese Larch,6,60,465,18.5,24.8,22.5,197,136,52,31,23,0.37,12,7,2,52.4,355,0.37,4.9,5.9
Japanese Larch,6,65,438,19.1,25.8,22.9,209,153,66,27,24,0.404,11,7,2,54.1,378,0.31,4.3,5.8
Japanese Larch,6,70,415,19.6,26.7,23.2,218,166,80,23,24.9,0.447,11,7,3,55.5,398,0.28,3.9,5.7
Japanese Larch,6,75,394,20.1,27.5,23.4,226,178,94,21,25.8,0.486,11,8,3,56.5,417,0.25,3.6,5.6
Japanese Larch,6,80,375,20.5,28.2,23.5,233,188,105,19,26.5,0.542,10,8,4,56.9,433,0.23,3.2,5.4
Hybrid Larch,6,15,2943,6.3,7.8,14,24,0,0,0,0,0,0,0,0,14,24,1.63,5.6,1.6
Hybrid Larch,6,20,1992,8.5,10.3,16.7,47,0,0,951,8.3,0.014,13,0,0,21.9,60,1.47,8,3
Hybrid Larch,6,25,320,10.5,12.9,17.3,70,2,0,672,10.9,0.031,21,0,0,28.7,104,1.26,9.2,4.2
Hybrid Larch,6,30,1012,12.3,15.4,18.7,96,10,0,308,13.3,0.068,21,1,0,34.5,151,1.04,9.1,5
Hybrid Larch,6,35,824,13.8,17.5,19.8,119,26,1,188,15.5,0.112,21,2,0,39.1,195,0.83,8.4,5.6
Hybrid Larch,6,40,693,15,19.3,20.4,137,50,6,131,17.4,0.16,21,4,0,42.7,234,0.66,7.4,5.9
Hybrid Larch,6,45,599,16.1,20.9,20.6,152,73,14,94,19,0.211,20,7,1,45.7,269,0.54,6.6,6
Hybrid Larch,6,50,538,17,22.3,21.1,167,95,24,61,20.4,0.264,16,7,1,48.2,300,0.47,6,6
Hybrid Larch,6,55,496,17.8,23.6,21.8,182,116,37,42,21.8,0.318,13,7,2,50.4,329,0.43,5.5,6
Hybrid Larch,6,60,465,18.5,24.8,22.5,197,136,52,31,23,0.37,12,7,2,52.4,355,0.37,4.9,5.9
Hybrid Larch,6,65,438,19.1,25.8,22.9,209,153,66,27,24,0.404,11,7,2,54.1,378,0.31,4.3,5.8
Hybrid Larch,6,70,415,19.6,26.7,23.2,218,166,80,23,24.9,0.447,11,7,3,55.5,398,0.28,3.9,5.7
Hybrid Larch,6,75,394,20.1,27.5,23.4,226,178,94,21,25.8,0.486,11,8,3,56.5,417,0.25,3.6,5.6
Hybrid Larch,6,80,375,20.5,28.2,23.5,233,188,105,19,26.5,0.542,10,8,4,56.9,433,0.23,3.2,5.4
Japanese Larch,4,20,2927,6.5,7.8,14,24,0,0,0,0,0,0,0,0,14,24,1.36,5,1.2
Japanese Larch,4,25,2045,8.3,9.9,15.7,43,0,0,882,7.9,0.012,10,0,0,20.1,53,1.21,6.4,2.1
Japanese Larch,4,30,1501,9.8,12.1,17.4,63,1,0,544,10.1,0.026,14,0,0,26.1,87,0.99,6.8,2.9
Japanese Larch,4,35,1218,11.1,14.1,19,82,5,0,283,12,0.05,14,0,0,31,121,0.78,6.4,3.4
Japanese Larch,4,40,1028,12.2,15.7,19.9,98,12,0,190,13.6,0.074,14,1,0,34.6,151,0.62,5.6,3.8
Japanese Larch,4,45,885,13.1,17,20.1,110,21,0,143,14.9,0.098,14,1,0,37.3,176,0.51,4.8,3.9
Japanese Larch,4,50,792,13.9,18.1,20.4,121,32,2,93,16,0.123,12,2,0,39.5,199,0.43,4.4,4
Japanese Larch,4,55,738,14.6,19.1,21.1,134,45,5,54,17,0.15,8,2,0,41.4,220,0.36,4.1,4
Japanese Larch,4,60,702,15.1,20,22,147,61,9,36,18,0.18,7,2,0,43.3,240,0.32,3.8,4
Japanese Larch,4,65,674,15.6,20.8,22.9,159,75,14,28,18.8,0.201,6,2,0,45,257,0.28,3.2,4
Japanese Larch,4,70,649,16,21.4,23.4,168,86,18,25,19.4,0.205,5,2,0,46.2,272,0.24,2.6,3.9
Japanese Larch,4,75,624,16.4,21.9,23.5,174,94,22,25,19.4,0.206,5,2,0,47.1,283,0.2,2.3,3.8
Japanese Larch,4,80,604,16.7,22.4,23.8,181,103,26,20,20.5,0.249,5,2,0,48.1,295,0.17,2.1,3.7
Hybrid Larch,4,20,2927,6.5,7.8,14,24,0,0,0,0,0,0,0,0,14,24,1.36,5,1.2
Hybrid Larch,4,25,2045,8.3,9.9,15.7,43,0,0,882,7.9,0.012,10,0,0,20.1,53,1.21,6.4,2.1
Hybrid Larch,4,30,1501,9.8,12.1,17.4,63,1,0,544,10.1,0.026,14,0,0,26.1,87,0.99,6.8,2.9
Hybrid Larch,4,35,1218,11.1,14.1,19,82,5,0,283,12,0.05,14,0,0,31,121,0.78,6.4,3.4
Hybrid Larch,4,40,1028,12.2,15.7,19.9,98,12,0,190,13.6,0.074,14,1,0,34.6,151,0.62,5.6,3.8
Hybrid Larch,4,45,885,13.1,17,20.1,110,21,0,143,14.9,0.098,14,1,0,37.3,176,0.51,4.8,3.9
Hybrid Larch,4,50,792,13.9,18.1,20.4,121,32,2,93,16,0.123,12,2,0,39.5,199,0.43,4.4,4
Hybrid Larch,4,55,738,14.6,19.1,21.1,134,45,5,54,17,0.15,8,2,0,41.4,220,0.36,4.1,4
Hybrid Larch,4,60,702,15.1,20,22,147,61,9,36,18,0.18,7,2,0,43.3,240,0.32,3.8,4
Hybrid Larch,4,65,674,15.6,20.8,22.9,159,75,14,28,18.8,0.201,6,2,0,45,257,0.28,3.2,4
Hybrid Larch,4,70,649,16,21.4,23.4,168,86,18,25,19.4,0.205,5,2,0,46.2,272,0.24,2.6,3.9
Hybrid Larch,4,75,624,16.4,21.9,23.5,174,94,22,25,19.4,0.206,5,2,0,47.1,283,0.2,2.3,3.8
Hybrid Larch,4,80,604,16.7,22.4,23.8,181,103,26,20,20.5,0.249,5,2,0,48.1,295,0.17,2.1,3.7
Douglas Fir,24,10,3099,7.8,9.7,23.1,46,0,0,0,0,0,0,0,0,23.1,46,2.52,18.2,4.6
Douglas Fir,24,15,1435,12.5,12.8,18.5,93,2,0,1664,11.8,0.036,60,0,0,36.7,154,2.71,24.8,10.3
Douglas Fir,24,20,771,17.1,18.1,19.8,149,39,3,664,15,0.127,84,8,0,49.7,293,2.76,30,14.7
Douglas Fir,24,25,490,21.3,25.3,24.6,225,160,65,281,20.6,0.299,84,38,7,63.8,454,2.72,32.8,18.1
Douglas Fir,24,30,354,25,32.5,29.3,309,274,201,136,27.9,0.615,84,67,37,76.9,621,2.44,33.1,20.7
Douglas Fir,24,35,277,28.2,39,33.2,388,366,318,77,35.1,1.09,84,77,62,88.2,785,2.09,31.5,22.4
Douglas Fir,24,40,229,30.8,44.9,36.2,456,440,407,48,41.5,1.714,84,80,72,97.9,936,1.79,29,23.4
Douglas Fir,24,45,193,32.9,50.2,38.2,514,502,474,36,47.3,2.276,80,78,73,106.1,1074,1.54,26.4,23.9
Douglas Fir,24,50,172,34.7,55.1,40.9,574,563,539,21,52.7,3.129,65,64,61,113.3,1200,1.36,24.1,24
Douglas Fir,24,55,156,36.2,59.4,43.3,633,622,599,16,57.4,3.717,57,56,53,119.7,1315,1.2,22.1,23.9
Douglas Fir,24,60,144,37.6,63.4,45.5,688,677,654,12,61.8,4.456,51,50,48,125.3,1421,1.05,20.1,23.7
Douglas Fir,24,65,134,38.7,67,47.3,736,725,703,10,65.7,5.043,47,46,45,130.2,1516,0.95,18.3,23.3
Douglas Fir,24,70,126,39.7,70.4,49,778,767,746,8,69.3,5.933,45,44,43,134.7,1603,0.89,16.8,22.9
Douglas Fir,24,75,120,40.5,73.3,50.7,817,806,784,6,72.5,6.47,43,42,41,139.1,1684,0.8,15.1,22.5
Douglas Fir,24,80,114,41.2,75.7,51.5,845,835,812,6,75.1,6.738,41,41,39,142.7,1753,0.73,13.7,21.9
Douglas Fir,22,10,3129,7.4,9.3,21.2,37,0,0,0,0,0,0,0,0,21.2,37,2.36,16,3.7
Douglas Fir,22,15,1586,11.8,12.1,18.3,86,1,0,1543,11.4,0.031,48,0,0,34.1,134,2.51,22.4,8.9
Douglas Fir,22,20,852,16.2,16.9,19.1,136,24,0,734,14.1,0.105,77,5,0,46.4,261,2.54,27.5,13
Douglas Fir,22,25,543,20.3,23.4,23.4,206,129,39,309,19,0.249,77,26,3,59.6,408,2.48,30.2,16.3
Douglas Fir,22,30,388,23.9,30.4,28.1,283,241,158,155,25.6,0.496,77,56,23,72.2,562,2.35,30.6,18.7
Douglas Fir,22,35,302,27,36.6,31.8,357,332,275,86,32.4,0.89,77,68,50,83,713,2.01,29.2,20.4
Douglas Fir,22,40,248,29.5,42.2,34.6,421,403,365,54,38.6,1.403,77,72,63,92.3,854,1.72,27,21.3
Douglas Fir,22,45,209,31.7,47.2,36.5,474,460,430,39,44.1,1.912,76,73,67,100.2,982,1.49,24.6,21.8
Douglas Fir,22,50,185,33.4,51.7,38.9,529,517,491,24,49,2.585,62,61,57,107.1,1100,1.3,22.5,22
Douglas Fir,22,55,168,35,55.9,41.3,583,572,548,17,53.6,3.276,53,52,50,113.3,1207,1.15,20.6,22
Douglas Fir,22,60,155,36.3,59.7,43.4,634,623,600,13,57.8,3.802,48,47,45,118.6,1306,1.01,18.8,21.8
Douglas Fir,22,65,144,37.5,63.1,45.1,679,668,646,11,61.4,4.282,44,43,42,123.3,1395,0.9,17.1,21.5
Douglas Fir,22,70,135,38.4,66.2,46.6,719,708,686,9,64.8,5,42,41,40,127.6,1477,0.83,15.6,21.1
Douglas Fir,22,75,128,39.3,69.2,48.2,754,743,722,7,68,5.725,40,39,38,131.7,1551,0.76,14,20.7
Douglas Fir,22,80,122,39.9,71.6,49.2,782,771,750,6,70.6,6.097,38,37,36,135.2,1617,0.68,12.6,20.2
Douglas Fir,20,10,3164,6.8,8.7,18.9,27,0,0,0,0,0,0,0,0,18.9,27,2.16,13.8,2.7
Douglas Fir,20,15,1836,11,11.5,19,79,0,0,1328,11.1,0.026,34,0,0,32,114,2.31,20.1,7.6
Douglas Fir,20,20,984,15.2,15.5,18.6,124,14,0,852,13.3,0.082,70,3,0,43.3,228,2.42,24.9,11.4
Douglas Fir,20,25,629,19.1,21.3,22.5,188,95,20,355,17.3,0.197,70,15,1,55.6,362,2.43,27.6,14.5
Douglas Fir,20,30,445,22.6,27.7,26.9,259,206,110,184,22.9,0.38,70,42,12,67.6,503,2.25,28,16.8
Douglas Fir,20,35,343,25.6,33.6,30.6,328,295,226,102,29.2,0.682,70,58,35,78,642,1.92,26.8,18.3
Douglas Fir,20,40,279,28.1,38.9,33.1,387,365,316,64,34.9,1.082,70,64,51,86.9,771,1.64,24.8,19.3
Douglas Fir,20,45,235,30.2,43.6,35.1,435,419,384,44,40.1,1.577,70,66,59,94.4,890,1.42,22.8,19.8
Douglas Fir,20,50,206,32,47.9,37.1,486,472,443,29,44.8,2.003,59,57,52,101.1,999,1.26,21,20
Douglas Fir,20,55,187,33.5,51.8,39.4,536,524,497,19,49.1,2.622,51,49,46,107,1099,1.12,19.4,20
Douglas Fir,20,60,172,34.8,55.4,41.5,583,572,548,15,53,3.132,45,44,42,112.3,1192,0.98,17.6,19.9
Douglas Fir,20,65,160,35.9,58.6,43.1,625,614,591,12,56.5,2.569,41,41,39,116.8,1275,0.85,15.8,19.6
Douglas Fir,20,70,150,36.9,61.4,44.4,661,651,628,10,59.6,4.021,39,38,37,120.8,1350,0.78,14.5,19.3
Douglas Fir,20,75,142,37.8,64.1,45.8,694,684,661,8,62.6,4.714,36,36,35,124.6,1419,0.7,12.9,18.9
Douglas Fir,20,80,135,38.4,66.5,46.8,719,708,687,7,65.1,5.164,35,34,33,127.8,1479,0.63,11.5,18.5
Douglas Fir,18,10,3203,6.2,8.5,18.1,20,0,0,0,0,0,0,0,0,18.1,20,1.92,11.6,2
Douglas Fir,18,15,2179,10.2,10.8,20.1,73,0,0,1024,10.9,0.02,21,0,0,29.6,94,2.12,17.5,6.2
Douglas Fir,18,20,1152,14.1,14.2,18.1,111,7,0,1027,12.4,0.061,63,1,0,40.1,195,2.24,22.3,9.7
Douglas Fir,18,25,743,17.8,19.2,21.5,169,59,7,409,15.7,0.154,63,8,0,51.4,316,2.27,24.9,12.6
Douglas Fir,18,30,523,21.2,25,25.7,234,164,64,220,20.4,0.286,63,28,5,62.8,444,2.14,25.4,14.8
Douglas Fir,18,35,398,24.1,30.5,29.1,297,254,168,125,25.8,0.502,63,46,20,72.8,569,1.84,24.3,16.3
Douglas Fir,18,40,321,26.5,35.4,31.6,351,323,260,77,31.2,0.809,63,55,38,81.2,687,1.57,22.7,17.2
Douglas Fir,18,45,269,28.6,39.8,33.5,397,376,331,52,36,1.189,63,58,48,88.5,796,1.37,21,17.7
Douglas Fir,18,50,236,30.3,43.9,35.6,442,426,391,33,40.4,1.637,56,53,47,94.9,897,1.22,19.5,17.9
Douglas Fir,18,55,211,31.8,47.6,37.6,488,474,445,25,44.5,1.971,48,46,42,100.7,990,1.08,17.9,18
Douglas Fir,18,60,194,33.1,50.9,39.5,532,519,492,17,48.1,2.462,42,41,38,105.7,1075,0.93,16.2,17.9
Douglas Fir,18,65,180,34.2,53.9,41,569,558,532,14,51.4,2.902,39,38,36,110,1152,0.8,14.5,17.7
Douglas Fir,18,70,169,35.2,56.5,42.3,602,591,567,11,54.2,3.257,36,35,33,113.7,1220,0.73,13.2,17.4
Douglas Fir,18,75,160,36,58.9,43.5,632,622,598,9,56.9,3.711,33,33,31,117.3,1284,0.65,11.8,17.1
Douglas Fir,18,80,151,36.7,61.2,44.4,654,644,621,9,59.3,4.297,32,31,30,120.2,1337,0.58,10.4,16.7
Douglas Fir,16,10,3243,5.6,8.1,16.5,12,0,0,0,0,0,0,0,0,16.5,12,1.64,9.4,1.2
Douglas Fir,16,15,2703,9.2,10.2,22.2,66,0,0,540,10.7,0.012,7,0,0,27.1,73,1.94,14.9,4.9
Douglas Fir,16,20,1401,12.9,12.8,18.2,99,3,0,1302,11.7,0.043,50,0,0,37,162,2.06,19.6,8.1
Douglas Fir,16,25,906,16.4,17,20.6,150,28,0,495,14.2,0.113,56,4,0,47.3,269,2.07,22.2,10.8
Douglas Fir,16,30,636,19.6,22,24.2,209,115,27,270,17.9,0.208,56,14,1,57.6,383,1.99,22.8,12.8
Douglas Fir,16,35,478,22.4,27.1,27.6,266,206,104,158,22.3,0.354,56,32,8,67.2,496,1.78,22.1,14.2
Douglas Fir,16,40,382,24.8,31.8,30.2,317,278,197,96,27.2,0.578,56,44,22,75.4,604,1.54,20.8,15.1
Douglas Fir,16,45,318,26.8,35.9,32.2,361,334,273,64,31.7,0.864,56,49,35,82.6,704,1.33,19.2,15.6
Douglas Fir,16,50,275,28.4,39.7,34,401,380,33,43,35.8,1.193,52,48,39,88.7,796,1.16,17.6,15.9
Douglas Fir,16,55,247,29.9,43,35.9,441,423,386,28,39.5,1.538,44,42,37,94.1,880,1.01,16.2,16
Douglas Fir,16,60,225,31.2,46,37.3,480,464,432,22,42.8,1.703,39,37,34,98.9,958,0.9,14.9,16
Douglas Fir,16,65,208,32.3,48.7,38.9,516,502,473,17,45.8,2.193,35,34,32,103.1,1029,0.79,13.6,15.8
Douglas Fir,16,70,195,33.3,51.3,40.2,547,535,507,13,48.5,2.571,32,32,30,106.7,1093,0.68,11.9,15.6
Douglas Fir,16,75,184,34.1,53.4,41.1,571,560,533,11,50.9,2.832,30,30,28,109.8,1147,0.6,10.4,15.3
Douglas Fir,16,80,175,34.8,55.4,42,592,581,556,9,53,3.225,29,28,27,112.7,1197,0.53,9.3,15
Douglas Fir,14,15,3078,8.2,10,24.2,52,0,0,0,0,0,0,0,0,24.2,52,1.75,12.4,3.5
Douglas Fir,14,20,1703,11.6,12.1,19.5,87,1,0,1375,11.5,0.03,41,0,0,33.7,128,1.87,16.8,6.4
Douglas Fir,14,25,1104,14.9,15.4,20.4,130,14,0,599,13.2,0.082,49,2,0,42.9,221,1.83,19.3,8.8
Douglas Fir,14,30,782,17.9,19.4,23.2,182,67,9,322,15.9,0.152,49,6,0,52,321,1.81,20.1,10.7
Douglas Fir,14,35,586,20.6,23.9,26.3,233,152,50,196,19.4,0.249,49,18,2,61,421,1.7,19.7,12
Douglas Fir,14,40,462,22.8,28.3,29,281,226,127,124,23.4,0.395,49,31,9,69,518,1.5,18.7,12.9
Douglas Fir,14,45,381,24.8,32.2,31.1,322,284,206,81,27.6,0.605,49,39,20,75.9,608,1.29,17.5,13.5
Douglas Fir,14,50,325,26.5,35.8,32.7,357,330,269,56,31.5,0.852,49,42,30,81.9,692,1.12,16.1,13.8
Douglas Fir,14,55,289,27.9,38.9,34.3,294,372,322,36,34.9,1.098,41,37,29,87.1,769,0.97,14.8,14
Douglas Fir,14,60,263,29.2,41.7,35.9,429,410,369,26,37.9,1.351,35,33,28,91.7,839,0.85,13.4,14
Douglas Fir,14,65,244,30.3,44.1,37.3,461,444,409,19,40.7,1.629,32,30,27,95.6,903,0.74,12.1,13
Douglas Fir,14,70,227,31.2,46.3,38.3,489,473,441,17,43.1,1.671,29,28,25,99.1,960,0.64,10.7,13.7
Douglas Fir,14,75,215,32,48.2,39.2,511,497,467,12,45.2,2.109,27,26,24,102,1010,0.56,9.4,13.5
Douglas Fir,14,80,204,32.6,49.9,39.9,529,516,487,11,46.9,2.301,26,25,24,104.7,1053,0.48,8.2,13.2
Douglas Fir,12,15,3146,7.1,9.1,20.3,32,0,0,0,0,0,0,0,0,20.3,32,1.58,9.8,2.2
Douglas Fir,12,20,2176,10.2,11,20.5,75,0,0,970,11,0.021,20,0,0,29.7,95,1.69,14.1,4.7
Douglas Fir,12,25,1392,13.3,13.5,20,111,5,0,784,12.1,0.054,42,0,0,38.2,173,1.67,16.5,6.9
Douglas Fir,12,30,992,16.1,16.8,21.9,156,27,0,400,14.1,0.105,42,3,0,46.4,160,1.62,17.5,8.7
Douglas Fir,12,35,745,18.7,20.5,24.5,201,90,16,247,16.7,0.17,42,7,0,54.4,348,1.55,17.3,9.9
Douglas Fir,12,40,584,20.8,24.3,27.1,245,164,58,161,19.8,0.26,42,17,2,61.9,433,1.42,16.6,10.8
Douglas Fir,12,45,476,22.7,28,29.2,283,226,124,108,23.1,0.387,42,26,7,68.6,513,1.24,15.6,11.4
Douglas Fir,12,50,401,24.4,31.3,30.8,316,274,190,75,26.6,0.556,42,32,15,74.4,588,1.08,14.4,11.8
Douglas Fir,12,55,351,25.8,34.2,32.3,348,316,246,50,29.8,0.736,37,31,20,79.4,657,0.94,13.2,11.9
Douglas Fir,12,60,317,27,36.8,33.7,379,353,294,34,32.6,0.925,32,28,21,83.7,720,0.81,12,12
Douglas Fir,12,65,292,28.1,39.1,35,407,384,334,25,35.1,1.105,28,26,21,87.5,777,0.69,10.7,11.9
Douglas Fir,12,70,272,29,41,36,431,411,367,20,37.3,1.276,26,24,20,90.7,827,0.6,9.5,11.8
Douglas Fir,12,75,256,29.8,42.8,36.8,452,433,395,16,39.2,1.494,24,23,20,93.5,871,0.53,8.3,11.6
Douglas Fir,12,80,243,30.4,44.4,37.6,467,450,415,13,40.9,1.771,23,22,20,96,910,0.44,7.1,11.4
Douglas Fir,10,15,3217,6,8.2,17.1,17,0,0,0,0,0,0,0,0,17.1,17,1.42,7.2,1.1
Douglas Fir,10,20,2891,8.8,9.9,22.1,61,0,0,326,10.5,0.004,1,0,0,24.9,62,1.46,10.9,3.1
Douglas Fir,10,25,1767,11.7,11.7,19,89,0,0,1124,11.1,0.031,35,0,0,32.7,125,1.48,13.4,5
Douglas Fir,10,30,1248,14.3,14.2,19.8,125,8,0,519,12.4,0.067,35,1,0,39.8,196,1.41,14.5,6.5
Douglas Fir,10,35,941,16.7,17.2,21.9,164,33,1,307,14.3,0.114,35,2,0,46.8,270,1.39,14.9,7.7
Douglas Fir,10,40,739,18.8,20.5,24.4,203,91,16,202,16.7,0.174,35,6,0,53.7,345,1.34,14.6,8.6
Douglas Fir,10,45,601,20.6,23.8,26.8,240,156,50,138,19.3,0.253,35,13,2,60.1,417,1.21,13.9,9.3
Douglas Fir,10,50,502,22.2,26.9,28.6,272,210,104,99,22.1,0.351,35,19,5,65.8,483,1.05,12.8,9.7
Douglas Fir,10,55,432,23.6,29.7,29.9,300,251,158,70,24.9,0.471,33,23,9,70.6,544,0.85,11.6,9.9
Douglas Fir,10,60,385,24.9,32.1,31.1,326,288,208,47,27.5,0.594,29,22,12,74.7,600,0.76,10.5,10
Douglas Fir,10,65,351,25.9,34.3,32.3,351,319,249,34,29.9,0.74,25,21,13,78.2,649,0.66,9.4,10
Douglas Fir,10,70,326,26.8,36.1,33.3,373,345,283,25,31.9,0.869,23,20,14,81.3,694,0.56,8.2,9.9
Douglas Fir,10,75,305,27.5,37.7,34,389,364,309,21,33.6,1.019,21,19,15,83.8,731,0.48,7.1,9.8
Douglas Fir,10,80,288,28.1,39.1,34.6,402,380,330,17,35.2,1.172,20,19,15,86.1,764,0.4,6,9.6
Western Hemlock ,24,15,3129,10.8,10.5,27.3,106,0,0,701,10.5,0.034,24,0,0,33.4,129,3.12,26.7,8.6
Western Hemlock ,24,20,1655,14.6,14,25.6,165,10,0,1474,12,0.057,84,1,0,48.4,272,2.8,31.1,13.6
Western Hemlock ,24,25,1066,18.2,18.3,28.1,249,70,6,589,15,0.143,84,8,0,61.3,440,2.37,34.1,17.6
Western Hemlock ,24,30,776,21.5,22.5,30.9,337,195,50,290,18.7,0.29,84,26,3,72,613,1.97,33.7,20.4
Western Hemlock ,24,35,605,24.5,26.3,32.8,417,312,144,171,22.7,0.492,84,49,13,80.9,777,1.64,31.6,22.2
Western Hemlock ,24,40,492,27.2,29.7,34.2,485,407,256,113,26.5,0.749,84,64,30,88.4,928,1.42,29.1,23.2
